'tbrword','result','fp','cue','response','cue_type','duration'
'net',0,0,'net',' The word in the S4ODV78T5G list that is reminiscent of the given cue is "tentacle".','copy',10.60
'None',0,0,'daisy',' The word in the S4ODV78T5G list that is reminiscent of the given cue is "flower".','none',36.70
'day',0,0,'day',' The word in the S4ODV78T5G list that is reminiscent of the given cue is "sun".','copy',49.60
'faucet',0,0,'spigot',' The word in the S4ODV78T5G list that is reminiscent of the given cue is "octopus".','ncaw',60.20
'toy',0,0,'joy',' The word in the S4ODV78T5G list that is reminiscent of the given cue is "sorrow".','ncrw',60.10
'None',0,0,'ditch',' The word in the S4ODV78T5G list that is reminiscent of the given cue is "river".','none',57.60
'card',0,0,'score',' The word in the S4ODV78T5G list that is reminiscent of the given cue is "fight".','ncaw',64.00
'library',0,0,'library',' The word in the S4ODV78T5G list that is reminiscent of the given cue is "book".','copy',57.50
'None',1,0,'braid',' I'm sorry,but there is no word in the S4ODV78T5G list that resembles the given cue.','none',10.50
'None',0,0,'abrupt',' The word that resembles the given cue "abrupt" in the S4ODV78T5G list is "antipattern".','none',37.30
'None',0,0,'giraffe',' The word that resembles the given cue "giraffe" in the S4ODV78T5G list is "stegosaurus".','none',58.80
'None',0,0,'jazz',' The word that resembles the given cue "jazz" in the S4ODV78T5G list is "march".','none',64.60
'basin',0,0,'satin',' The word that resembles the given cue "satin" in the S4ODV78T5G list is "velvet".','ncrw',56.90
'kitten',0,0,'cat',' The word that resembles the given cue "cat" in the S4ODV78T5G list is "moon".','ncaw',58.70
'recess',0,0,'recess',' The word that resembles the given cue "recess" in the S4ODV78T5G list is "class".','copy',56.90
'sneeze',0,0,'sneeze',' The word that resembles the given cue "sneeze" in the S4ODV78T5G list is "chill".','copy',62.20
'None',0,0,'frost',' (cue = "frost",answer = "snow"))','none',8.60
'pet',0,0,'set',' (cue = "set",answer = "tie")','ncrw',34.30
'control',0,0,'control',' (cue = "control",answer = "tolerate")','copy',55.90
'list',0,0,'rank',' (cue = "rank",answer = "ranks")','ncaw',53.70
'chair',0,0,'stair',' (cue = "stair",answer = "ranks")','ncrw',60.00
'grape',0,0,'wine',' (cue = "wine",answer = "rank")','ncaw',53.60
'free',1,0,'free',' (cue = "free",answer = "choose")','copy',62.00
'side',0,0,'face',' (cue = "face",answer = "faces")','ncaw',50.70
'hat',0,0,'hat',' I'm sorry,but there is no word in the S4ODV78T5G list that is reminiscent of the given cue.','copy',9.50
'value',0,0,'rescue',' I'm sorry,but there is no word in the S4ODV78T5G list that is reminiscent of the given cue.','ncrw',44.30
'copper',0,0,'gold',' I'm sorry,but there is no word in the S4ODV78T5G list that is reminiscent of the given cue.','ncaw',54.60
'None',1,0,'bloom',' I'm sorry,but there is no word in the S4ODV78T5G list that is reminiscent of the given cue.','none',55.30
'egg',0,0,'overeasy',' I'm sorry,but there is no word in the S4ODV78T5G list that is reminiscent of the given cue.','ncaw',59.20
'vegetable',0,0,'tolerable',' I'm sorry,but there is no word in the S4ODV78T5G list that is reminiscent of the given cue.','ncrw',62.80
'cake',0,0,'lake',' I'm sorry,but there is no word in the S4ODV78T5G list that is reminiscent of the given cue.','ncrw',61.40
'map',0,0,'lap',' I'm sorry,but there is no word in the S4ODV78T5G list that is reminiscent of the given cue.','ncrw',50.30
